"dateTime","value__bpm","value__confidence"
"02/02/19 23:28:19","66","2"
"02/02/19 23:28:24","65","2"
"02/02/19 23:28:29","66","3"
"02/02/19 23:28:34","64","3"
"02/02/19 23:28:44","63","3"
"02/02/19 23:28:54","64","3"
"02/02/19 23:28:59","63","3"
"02/02/19 23:29:04","62","3"
"02/02/19 23:29:14","63","3"
"02/02/19 23:29:19","65","3"
"02/02/19 23:29:29","64","2"
"02/02/19 23:29:34","65","3"
"02/02/19 23:29:39","64","3"
"02/02/19 23:29:44","63","3"
"02/02/19 23:29:49","64","2"
"02/02/19 23:29:54","63","3"
"02/02/19 23:30:04","64","3"
"02/02/19 23:30:09","62","3"
"02/02/19 23:30:14","65","3"
"02/02/19 23:30:20","71","3"
"02/02/19 23:30:25","70","3"
"02/02/19 23:30:30","69","2"
"02/02/19 23:30:35","64","3"
"02/02/19 23:30:50","63","3"
"02/02/19 23:30:55","64","2"
"02/02/19 23:31:10","64","2"
"02/02/19 23:31:15","67","2"
"02/02/19 23:31:25","72","2"
"02/02/19 23:31:40","66","3"
"02/02/19 23:31:45","67","3"
"02/02/19 23:31:50","65","3"
"02/02/19 23:31:55","65","2"
"02/02/19 23:32:00","64","2"
"02/02/19 23:32:10","63","2"
"02/02/19 23:32:15","68","3"
"02/02/19 23:32:20","65","3"
"02/02/19 23:32:25","61","3"
"02/02/19 23:32:30","59","3"
"02/02/19 23:32:40","62","3"
"02/02/19 23:32:50","61","3"
"02/02/19 23:33:00","60","3"
"02/02/19 23:33:05","59","3"
"02/02/19 23:33:15","59","2"
"02/02/19 23:33:25","66","3"
"02/02/19 23:33:30","68","3"
"02/02/19 23:33:35","65","3"
"02/02/19 23:33:43","62","2"
"02/02/19 23:33:48","57","3"
"02/02/19 23:33:53","59","3"
"02/02/19 23:33:58","60","3"
"02/02/19 23:34:03","58","3"
"02/02/19 23:34:08","59","3"
"02/02/19 23:34:13","60","3"
"02/02/19 23:34:18","59","3"
"02/02/19 23:34:28","58","3"
"02/02/19 23:34:38","58","2"
"02/02/19 23:34:43","60","3"
"02/02/19 23:34:48","63","2"
"02/02/19 23:34:53","63","3"
"02/02/19 23:34:58","62","3"
"02/02/19 23:35:03","61","3"
"02/02/19 23:35:08","62","2"
"02/02/19 23:35:23","63","3"
"02/02/19 23:35:33","62","3"
"02/02/19 23:35:38","60","3"
"02/02/19 23:35:43","61","3"
"02/02/19 23:35:53","63","3"
"02/02/19 23:36:03","62","3"
"02/02/19 23:36:18","62","3"
"02/02/19 23:36:23","59","3"
"02/02/19 23:36:28","57","3"
"02/02/19 23:36:33","58","3"
"02/02/19 23:36:38","59","3"
"02/02/19 23:36:45","60","3"
"02/02/19 23:36:50","61","2"
"02/02/19 23:36:55","66","3"
"02/02/19 23:37:00","68","3"
"02/02/19 23:37:10","66","3"
